"warid","warname","statenum","stateacr","sdate1","sdate2","edate1","edate2","deaths","outcome","newcow","cow94","cow00","oldwid"
"ECW2.1-1745","First Iraqi Kurd",645,"IRQ","1961-9-11",NA,"1963-11-22",NA,2500,6,"CW-752","IW-437","CW-658",1785
"ECW2.1-175","Spanish Royalists",230,"SPN","1821-12-1",NA,"1823-4-6",NA,7000,4,"CW-503","CW-601","CW-502",1020
"ECW2.1-1750","Algerian Revolutionaries",615,"ALG","1962-7-28",NA,"1963-1-15",NA,1500,2,"CW-753","CW-844","CW-659",1790
"ECW2.1-1755","North Yemen",678,"YEM","1962-11-15",NA,"1969-9-3",NA,1e+05,1,"CW-755","CW-847","CW-660",1795
"ECW2.1-1755","North Yemen",651,"EGY","1962-12-15",NA,"1967-10-16",NA,1000,1,"CW-755","CW-847","CW-660",1795
"ECW2.1-1760","Second Laotian Phase 1",812,"LAO","1963-3-19",NA,"1968-1-12",NA,18500,4,"CW-756","CW-850","CW-662",1800
"ECW2.1-1760","Second Laotian Phase 1",816,"DRV","1963-3-19",NA,"1968-1-12",NA,3000,4,"CW-756","CW-850","CW-662",1800
"ECW2.1-1760","Second Laotian Phase 1",2,"USA","1964-5-19",NA,"1968-1-12",NA,500,4,"CW-756","CW-850","CW-662",1800
"ECW2.1-1765","First Ogaden",520,"SOM","1963-11-1",NA,"1964-3-30",NA,NA,1,"CW-757",NA,NA,NA
"ECW2.1-1765","First Ogaden",530,"ETH","1963-6-1",NA,"1964-3-30",NA,NA,1,"CW-757",NA,NA,NA
"ECW2.1-1770","Second DRC (Jeunesse)",490,"DRC","1963-10-1",NA,"1965-1-1",NA,9000,1,"CW-760","CW-838","CW-655",1775
"ECW2.1-1775","First South Sudan",625,"SUD","1963-10-1",NA,"1972-2-28",NA,250000,3,"CW-758","CW-853","CW-663",1805
"ECW2.1-1780","First Rwanda",517,"RWA","1963-11-15",NA,"1964-2-6",NA,1000,1,"CW-761","CW-856","CW-664",1810
"ECW2.1-1785","Third DRC (Simba) Rebellion",490,"DRC","1964-1-1",NA,"1965-9-14",NA,4250,1,"CW-762","CW-838","CW-655",1775
"ECW2.1-1785","Third DRC (Simba) Rebellion",211,"BEL","1964-11-24",NA,"1965-9-14",NA,NA,1,"CW-762","CW-838","CW-655",NA
"ECW2.1-1790","Zanzibar Arab-African",511,"ZAN","1964-1-12",NA,"1964-1-15",NA,NA,2,"CW-763",NA,NA,NA
"ECW2.1-1795","Mozambique-Portuguese",235,"POR","1964-9-25",NA,"1975-6-25",NA,13500,2,"ES-471","IW-441","ES-437",5385
"ECW2.1-1800","Second Iraqi Kurds",645,"IRQ","1965-4-3",NA,"1966-6-21",NA,3000,3,"CW-765",NA,NA,NA
"ECW2.1-1805","Dominican Republic",42,"DOM","1965-4-25",NA,"1965-9-6",NA,2500,7,"CW-766","CW-859","CW-665",1815
"ECW2.1-1805","Dominican Republic",2,"USA","1965-4-29",NA,"1965-9-6",NA,26,7,"CW-766","CW-859","CW-665",1815
"ECW2.1-1810","First West Papua",850,"INS","1965-7-26",NA,"1969-7-17",NA,3000,6,"CW-767",NA,NA,NA
"ECW2.1-1815","First Uganda",500,"UGA","1966-5-23",NA,"1966-6-1",NA,2000,1,"CW-768","CW-862","CW-667",1820
"ECW2.1-1820","First Guatemala",2,"USA","1966-10-1",NA,"1968-8-15",NA,NA,1,"CW-770",NA,NA,NA
"ECW2.1-1820","First Guatemala",90,"GUA","1966-10-1",NA,"1968-8-15",NA,1000,1,"CW-770",NA,NA,NA
"ECW2.1-1825","First Chad (FROLINAT) Rebellion",483,"CHA","1966-11-1",NA,"1971-6-16",NA,3500,1,"CW-771",NA,"CW-669",1830
"ECW2.1-1825","First Chad (FROLINAT) Rebellion",220,"FRN","1968-8-1",NA,"1971-6-16",NA,35,1,"CW-771",NA,"CW-669",1830
"ECW2.1-1830","Cultural Revolution",710,"CHN","1967-1-9",NA,"1968-09-01",NA,50000,4,"CW-772/CW-776",NA,NA,NA
"ECW2.1-1835","Third Burmese",775,"MYA","1967-6-1",NA,"1980-10-22",NA,29200,7,"CW-773","CW-869","CW-673",1845
"ECW2.1-1840","Biafra",475,"NIG","1967-7-6",NA,"1970-1-12",NA,1e+05,1,"CW-775","CW-868","CW-672",1840
"ECW2.1-1850","Third Iraqi Kurds",645,"IRQ","1969-1-3",NA,"1970-3-11",NA,4000,3,"CW-777",NA,NA,NA
"ECW2.1-1855","Naxalite Rebellion",750,"IND","1970-2-1",NA,"1971-11-15",NA,2100,1,"CW-778",NA,NA,NA
"ECW2.1-1860","Black September",663,"JOR","1970-9-13",NA,"1970-9-24",NA,3440,1,"CW-780","CW-874","CW-677",1860
"ECW2.1-1860","Black September",652,"SYR","1970-9-20",NA,"1970-9-23",NA,NA,1,"CW-780","CW-874","CW-677",NA
"ECW2.1-1865","Second Guatemala",90,"GUA","1970-11-15",NA,"1971-9-15",NA,1000,1,"CW-781","CW-877","CW-678",1865
"ECW2.1-1870","Pakistan-Bengal",770,"PAK","1971-3-25",NA,"1971-12-2",NA,5e+05,4,"CW-782","CW-880","CW-679",1870
"ECW2.1-1875","First Sri Lanka-JVP",780,"SRI","1971-4-6",NA,"1971-5-16",NA,4053,1,"CW-783","CW-883","CW-680",1875
"ECW2.1-1880","Khmer Rouge",2,"USA","1971-7-3",NA,"1973-8-15",NA,500,2,"CW-785","CW-871","CW-675",1855
"ECW2.1-1880","Khmer Rouge",811,"CAM","1971-7-3",NA,"1975-4-17",NA,85000,2,"CW-785","CW-871","CW-675",1855
"ECW2.1-1885","Communist Insurgency",800,"THI","1972-1-1",NA,"1973-10-15",NA,2200,6,"CW-787",NA,"CW-674",1850
"ECW2.1-1890","First Philippine-Moro",840,"PHI","1972-1-1",NA,"1981-4-19",NA,30000,1,"CW-786","IW-439","CW-682",1880
"ECW2.1-190","First British-Ashanti",200,"UKG","1824-1-20",NA,"1826-8-7",NA,6400,1,"ES-311","IW-309","ES-306",5015
"ECW2.1-1900","First Burundi",516,"BUI","1972-4-29",NA,"1972-5-25",NA,2000,1,"CW-789","CW-886","CW-683",1885
"ECW2.1-1905","Philippines-NPA",840,"PHI","1972-10-1",NA,"1992-12-31",NA,31000,6,"CW-790","CW-889","CW-684",1890
"ECW2.1-1910","Rhodesia",552,"ZIM","1972-12-28",NA,"1979-12-28",NA,11000,2,"CW-791","CW-892","CW-685",1895
"ECW2.1-1915","Baluchi Separatists",770,"PAK","1973-1-23",NA,"1977-7-15",NA,8600,1,"CW-792","CW-893","CW-687",1900
"ECW2.1-1920","Chilean Coup of 1973",155,"CHL","1973-9-11",NA,"1973-9-15",NA,3400,2,"CW-793",NA,"CW-688",1905
"ECW2.1-1925","Dhofar Rebellion",200,"UKG","1968-09-01",NA,"1975-12-11",NA,7870,1,"CW-795/NS-1577",NA,NA,NA
"ECW2.1-1925","Dhofar Rebellion",630,"IRN","1968-09-01",NA,"1975-12-11",NA,7870,1,"CW-795/NS-1577",NA,NA,NA
"ECW2.1-1925","Dhofar Rebellion",698,"OMA","1968-09-01",NA,"1975-12-11",NA,7870,1,"CW-795/NS-1577",NA,NA,NA
"ECW2.1-1930","Fourth Iraqi Kurds",630,"IRN","1974-3-18",NA,"1975-3-6",NA,NA,1,"CW-797","IW-443","CW-690",NA
"ECW2.1-1930","Fourth Iraqi Kurds",645,"IRQ","1974-3-18",NA,"1975-4-3",NA,20000,1,"CW-797","IW-443","CW-690",1915
"ECW2.1-1935","Eritrean War",530,"ETH","1975-1-31",NA,"1978-12-15",NA,12500,1,"CW-798","IW-442","CW-689",1910
"ECW2.1-1935","Eritrean War",40,"CUB","1976-12-5",NA,"1978-12-15",NA,6000,1,"CW-798","IW-442","CW-689",1910
"ECW2.1-1940","Argentine Leftists",160,"ARG","1975-2-1",NA,"1977-3-15",NA,2850,1,"CW-800",NA,NA,NA
"ECW2.1-195","Liberation of Peru",230,"SPN","1824-2-4",NA,"1825-4-2",NA,2400,2,"ES-312",NA,NA,NA
"ECW2.1-1955","Namibian",560,"SAF","1975-10-17",NA,"1988-12-13",NA,20100,2,"ES-473",NA,"ES-440",5400
"ECW2.1-1960","Western Saharan",435,"MAA","1975-12-11",NA,"1979-8-5",NA,2000,7,"ES-474","IW-448","ES-441",5395
"ECW2.1-1960","Western Saharan",600,"MOR","1975-12-11",NA,"1983-12-23",NA,13500,7,"ES-474","IW-448","ES-441",5395
"ECW2.1-1960","Western Saharan",615,"ALG","1976-1-27",NA,"1976-3-6",NA,NA,7,"ES-474","IW-448","ES-441",NA
"ECW2.1-1965","Second West Papua",850,"INS","1976-1-1",NA,"1978-4-14",NA,2100,6,"CW-802",NA,NA,NA
"ECW2.1-1970","Third Laotian",816,"DRV","1976-1-1",NA,"1979-5-15",NA,NA,1,"CW-803",NA,NA,NA
"ECW2.1-1970","Third Laotian",812,"LAO","1976-4-1",NA,"1979-5-15",NA,6000,1,"CW-803",NA,NA,NA
"ECW2.1-1975","Angolan Control",40,"CUB","1976-2-13",NA,"1991-5-15",NA,4000,3,"CW-804","CW-898","CW-693",1925
"ECW2.1-1975","Angolan Control",540,"ANG","1976-2-13",NA,"1991-5-15",NA,341000,3,"CW-804","CW-898","CW-693",1925
"ECW2.1-1975","Angolan Control",560,"SAF","1976-2-13",NA,"1989-6-15",NA,800,3,"CW-804","CW-898","CW-693",1925
"ECW2.1-1980","Second Ogaden Phase 1",40,"CUB","1976-7-1",NA,"1977-7-22",NA,1500,4,"CW-805","IW-451","CW-694",1930
"ECW2.1-1980","Second Ogaden Phase 1",520,"SOM","1976-7-1",NA,"1977-7-22",NA,1900,4,"CW-805","IW-451","CW-694",1930
"ECW2.1-1980","Second Ogaden Phase 1",530,"ETH","1976-7-1",NA,"1977-7-22",NA,29000,4,"CW-805","IW-451","CW-694",1930
"ECW2.1-1985","East Timorese War Phase 3",850,"INS","1976-7-18",NA,"1979-5-26",NA,NA,1,"CW-806","IW-445","ES-439",5390
"ECW2.1-1995","Second Ogaden Phase 3",40,"CUB","1978-3-10",NA,"1980-12-3",NA,NA,1,"CW-808",NA,NA,NA
"ECW2.1-1995","Second Ogaden Phase 3",530,"ETH","1978-3-10",NA,"1980-12-3",NA,22000,1,"CW-808",NA,NA,NA
"ECW2.1-1995","Second Ogaden Phase 3",520,"SOM","1980-11-22",NA,"1980-12-3",NA,NA,1,"CW-808",NA,NA,NA
"ECW2.1-200","Egypt-Mehdi",640,"TUR","1824-3-20",NA,"1824-4-15",NA,NA,1,"CW-507",NA,NA,NA
"ECW2.1-2000","Third Guatemala",90,"GUA","1978-3-12",NA,"1984-4-13",NA,6000,1,"CW-809","CW-900","CW-695",1935
"ECW2.1-2005","Saur Revolution",700,"AFG","1978-4-27",NA,"1978-4-28",NA,3000,2,"CW-810",NA,NA,NA
"ECW2.1-201","China-Kashgaria War",710,"CHN","1825-01-01",NA,"1828-12-31",NA,20000,1,"NS-1508",NA,NA,NA
"ECW2.1-2010","Fourth DRC (Shaba)",490,"DRC","1978-5-1",NA,"1978-6-6",NA,1000,1,"CW-811",NA,NA,NA
"ECW2.1-2010","Fourth DRC (Shaba)",220,"FRN","1978-5-18",NA,"1978-6-6",NA,NA,1,"CW-811",NA,NA,NA
"ECW2.1-2010","Fourth DRC (Shaba)",211,"BEL","1978-5-20",NA,"1978-6-6",NA,NA,1,"CW-811",NA,NA,NA
"ECW2.1-2015","First Afghan Mujahideen Uprising",700,"AFG","1978-9-1",NA,"1980-2-21",NA,33000,4,"CW-812","CW-901","CW-698",1945
"ECW2.1-2015","First Afghan Mujahideen Uprising",365,"RUS","1979-3-15",NA,"1980-2-21",NA,NA,4,"CW-812","CW-901","CW-698",1945
"ECW2.1-202","Mexico-Yaqui Indian War",775,"MYA","1825-10-25",NA,"1827-04-13",NA,3000,1,"NS-1509",NA,NA,NA
"ECW2.1-2020","Overthrow of the Shah",630,"IRN","1978-9-3",NA,"1979-2-11",NA,1100,2,"CW-813","CW-904","CW-699",1950
"ECW2.1-2025","Sandinista Rebellion",93,"NIC","1978-9-9",NA,"1979-7-18",NA,4000,2,"CW-815","CW-907","CW-700",1955
"ECW2.1-2030","Khmer Insurgency",811,"CAM","1979-1-9",NA,"1989-9-25",NA,15000,4,"ES-475","CW-908","CW-702",1960
"ECW2.1-2030","Khmer Insurgency",816,"DRV","1979-1-9",NA,"1989-9-25",NA,25300,4,"ES-475","CW-908","CW-702",1960
"ECW2.1-2035","Anti-Khomeini Coalition",630,"IRN","1979-2-12",NA,"1984-3-15",NA,14000,1,"CW-816","CW-922","CW-709",1990
"ECW2.1-2040","El Salvador",92,"SAL","1979-7-1",NA,"1992-2-1",NA,25000,3,"CW-817","CW-910","CW-703",1965
"ECW2.1-2045","Mozambique",541,"MZM","1979-10-21",NA,"1992-10-4",NA,2e+05,1,"CW-818","CW-913","CW-704",1970
"ECW2.1-2045","Mozambique",552,"ZIM","1982-1-1",NA,"1992-10-4",NA,500,1,"CW-818","CW-913","CW-704",1970
"ECW2.1-2045","Mozambique",510,"TAZ","1985-1-1",NA,"1992-10-4",NA,50,1,"CW-818","CW-913","CW-704",1970
"ECW2.1-205","Dutch - Javanese",210,"NTH","1825-7-23",NA,"1830-3-28",NA,215000,1,"ES-313","IW-310","ES-307",5020
"ECW2.1-2050","Soviet Quagmire",365,"RUS","1980-2-22",NA,"1989-2-15",NA,90000,4,"ES-476","CW-901","CW-698",1945
"ECW2.1-2050","Soviet Quagmire",700,"AFG","1980-2-22",NA,"1989-2-15",NA,NA,4,"ES-476","CW-901","CW-698",1945
"ECW2.1-2055","Second Chad (Habre Revolt)",620,"LIB","1980-12-1","1983-6-1","1981-10-15","1984-9-15",NA,2,"CW-820","CW-916","CW-705",NA
"ECW2.1-2055","Second Chad (Habre Revolt)",483,"CHA","1980-3-22",NA,"1984-9-15",NA,5000,2,"CW-820","CW-916","CW-705",1975
"ECW2.1-2055","Second Chad (Habre Revolt)",220,"FRN","1983-8-9",NA,"1984-9-15",NA,NA,2,"CW-820","CW-916","CW-705",NA
"ECW2.1-2060","Second Uganda",500,"UGA","1980-12-8",NA,"1986-3-19",NA,46000,2,"CW-822","CW-919","CW-708",1985
"ECW2.1-2065","Nigeria-Muslim",475,"NIG","1980-12-18",NA,"1981-1-1",NA,1050,1,"CW-823","CW-917","CW-707",1980
"ECW2.1-2070","Hama",652,"SYR","1981-11-1",NA,"1982-2-23",NA,3000,1,"CW-825",NA,NA,NA
"ECW2.1-2075","Tigrean and Eritrean",530,"ETH","1982-1-23",NA,"1991-5-28",NA,75000,2,"CW-826",NA,NA,NA
"ECW2.1-2080","Shining Path",135,"PER","1982-3-4",NA,"1992-9-12",NA,16000,1,"CW-827","CW-925","CW-710",1995
"ECW2.1-2085","Contra War",93,"NIC","1982-3-18",NA,"1990-4-19",NA,32200,6,"CW-828","CW-928","CW-712",2000
"ECW2.1-2090","Matabeleland",552,"ZIM","1983-1-1",NA,"1987-12-27",NA,10000,1,"CW-831",NA,NA,NA
"ECW2.1-2095","Fourth Burmese",775,"MYA","1983-2-1",NA,"1988-1-15",NA,4000,1,"CW-832","CW-933","CW-714",2010
"ECW2.1-210","British-Bharatpuran",200,"UKG","1825-11-23",NA,"1826-1-18",NA,4900,1,"ES-314","IW-314","ES-309",5025
"ECW2.1-2100","Fourth Lebanese Civil",2,"USA","1983-4-18",NA,"1984-2-29",NA,273,2,"CW-833",NA,NA,NA
"ECW2.1-2100","Fourth Lebanese Civil",220,"FRN","1983-4-18",NA,"1984-2-29",NA,95,2,"CW-833",NA,NA,NA
"ECW2.1-2100","Fourth Lebanese Civil",660,"LEB","1983-4-18",NA,"1984-2-29",NA,2000,2,"CW-833",NA,NA,NA
"ECW2.1-2105","First Sri Lanka Tamil",780,"SRI","1983-7-25",NA,"2002-2-22",NA,25500,3,"CW-835","CW-934","CW-715",2015
"ECW2.1-2105","First Sri Lanka Tamil",750,"IND","1987-7-25",NA,"1990-5-24",NA,900,3,"CW-835","CW-934","CW-715",2015
"ECW2.1-211","Central American Confederation War",89,"UPC","1826-01-01",NA,"1829-04-12",NA,3300,2,"NS-1510",NA,NA,NA
"ECW2.1-211","Viang Chan-Siamese War",800,"THI","1826-01-01",NA,"1827-05-15",NA,31000,1,"NS-1511",NA,NA,NA
"ECW2.1-2110","Second South Sudan",625,"SUD","1983-11-17","1992-4-15","1991-8-27","2005-1-10",1300000,3,"CW-836","CW-937","CW-717",2020
"ECW2.1-2115","Indian Golden Temple",750,"IND","1984-6-1",NA,"1984-7-30",NA,1900,6,"CW-837",NA,NA,NA
"ECW2.1-2120","First Turkish Kurds",640,"TUR","1984-8-14",NA,"1986-3-15",NA,10500,7,"CW-838",NA,NA,NA
"ECW2.1-2125","Fifth Iraqi  Kurds",630,"IRN","1985-1-1",NA,"1988-7-17",NA,NA,1,"CW-840","CW-941","CW-720",NA
"ECW2.1-2125","Fifth Iraqi  Kurds",645,"IRQ","1985-1-1",NA,"1988-9-6",NA,10000,1,"CW-840","CW-941","CW-720",2035
"ECW2.1-2130","South Yemen",680,"YPR","1986-1-13",NA,"1986-1-29",NA,13000,2,"CW-842","CW-943","CW-723",2045
"ECW2.1-2135","Holy Spirit Movement",500,"UGA","1986-8-1",NA,"1987-10-15",NA,7000,1,"CW-843","CW-919","CW-708",1985
"ECW2.1-2140","Second Sri Lanka-JVP",780,"SRI","1987-7-29",NA,"1989-12-29",NA,NA,1,"CW-845",NA,NA,NA
"ECW2.1-215","Janissari Revolt",640,"TUR","1826-6-14",NA,"1826-9-30",NA,6300,1,"CW-508",NA,"CW-505",105
"ECW2.1-2150","Fifth Burmese",775,"MYA","1988-3-1",NA,"1988-10-3",NA,3000,1,"CW-847","CW-933","CW-714",2010
"ECW2.1-2155","First Somalia",520,"SOM","1988-5-26",NA,"1991-1-26",NA,95000,2,"CW-848","CW-931","CW-713",2005
"ECW2.1-2160","Fifth Lebanese",652,"SYR","1989-2-1",NA,"1990-10-13",NA,150,2,"CW-850","CW-895","CW-691",NA
"ECW2.1-2160","Fifth Lebanese",660,"LEB","1989-2-1",NA,"1990-10-13",NA,2650,2,"CW-850","CW-895","CW-691",1920
"ECW2.1-2165","Second Afghan Mujahideen Uprising",700,"AFG","1989-2-16",NA,"2001-10-6",NA,15000,4,"CW-851","CW-901","CW-698",1945
"ECW2.1-2170","Third Chad (Deby Coup)",483,"CHA","1989-3-1",NA,"1990-12-4",NA,3800,2,"CW-852",NA,NA,NA
"ECW2.1-2175","First Aceh",850,"INS","1989-6-1",NA,"1991-6-15",NA,2000,1,"CW-853",NA,NA,NA
"ECW2.1-2180","Bougainville Secession",910,"PNG","1989-7-14",NA,"1992-9-15",NA,3000,7,"CW-854",NA,NA,NA
"ECW2.1-2185","Eighth Colombia",100,"COL","1989-8-19",NA,"2010-12-31",NA,28161,5,"CW-856","CW-940","CW-719",2030
"ECW2.1-2190","First Cambodian Civil War",811,"CAM","1989-9-26",NA,"1991-10-23",NA,15000,3,"CW-857","CW-908","CW-702",1960
"ECW2.1-2195","Romania",360,"RUM","1989-12-18",NA,"1989-12-26",NA,1000,2,"CW-858","CW-950","CW-728",2060
"ECW2.1-2200","First Liberia",450,"LBR","1989-12-24",NA,"1990-11-28",NA,10000,7,"CW-860","CW-949","CW-727",2055
"ECW2.1-2200","First Liberia",475,"NIG","1990-11-1",NA,"1990-11-28",NA,NA,7,"CW-860","CW-949","CW-727",2055
"ECW2.1-2205","Kashmir Insurgents",750,"IND","1990-9-19",NA,"2005-10-8",NA,27700,7,"CW-861","CW-942","CW-722",2040
"ECW2.1-2210","Shiite and Kurdish",645,"IRQ","1991-3-1",NA,"1991-3-31",NA,10000,1,"CW-862","CW-941","CW-720",2035
"ECW2.1-2215","First Sierra Leone",451,"SIE","1991-3-23",NA,"1996-4-23",NA,20000,1,"CW-863",NA,"CW-730",2075
"ECW2.1-2220","Croatian Independence",345,"SER","1991-5-2",NA,"1992-1-2",NA,NA,2,"CW-864","CW-964","CW-733",2080
"ECW2.1-2225","Second Turkish Kurds",640,"TUR","1991-7-10",NA,"1999-2-16",NA,16500,6,"CW-865","CW-967","CW-734",2085
"ECW2.1-2230","First PKK in Iraq",640,"TUR","1991-8-4",NA,"1992-3-25",NA,2300,6,"ES-477","CW-967","CW-734",2085
"ECW2.1-2245","Second Somalia",520,"SOM","1991-11-1",NA,"1997-1-15",NA,95000,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",2,"USA","1992-12-13",NA,"1994-3-25",NA,18,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",220,"FRN","1992-12-13",NA,"1995-3-1",NA,NA,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",325,"ITA","1992-12-13",NA,"1995-3-1",NA,NA,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",475,"NIG","1992-12-13",NA,"1995-3-1",NA,NA,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",770,"PAK","1992-12-13",NA,"1995-3-1",NA,NA,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2245","Second Somalia",900,"AUL","1992-12-13",NA,"1995-3-1",NA,NA,3,"CW-870","CW-931","CW-713",2005
"ECW2.1-2250","Georgia",372,"GRG","1991-12-26",NA,"1992-3-15",NA,5000,2,"CW-871","CW-955","CW-736",2095
"ECW2.1-2255","Dniestrian Independence",359,"MLD","1991-12-26",NA,"1992-7-2",NA,1000,3,"CW-873",NA,NA,NA
"ECW2.1-2260","Nagorno-Karabakh",371,"ARM","1991-12-26",NA,"1993-2-5",NA,NA,4,"CW-872","IW-214","CW-737",NA
"ECW2.1-2260","Nagorno-Karabakh",373,"AZE","1991-12-26",NA,"1993-2-5",NA,10000,4,"CW-872","IW-214","CW-737",2100
"ECW2.1-2265","Algerian Islamic Front",615,"ALG","1992-2-7",NA,"1999-6-15",NA,80000,3,"CW-875",NA,"CW-739",2110
"ECW2.1-2270","Tajikistan",702,"TAJ","1992-5-1",NA,"1997-6-27",NA,20000,3,"CW-876",NA,NA,NA
"ECW2.1-2270","Tajikistan",365,"RUS","1993-3-1",NA,"1997-6-27",NA,NA,3,"CW-876",NA,NA,NA
"ECW2.1-2275","Bosnian-Serb Rebellion",344,"CRO","1992-10-19",NA,"1994-2-22",NA,NA,1,"CW-877","CW-973","CW-738",NA
"ECW2.1-2275","Bosnian-Serb Rebellion",346,"BOS","1992-6-6","1995-3-20","1994-12-31","1995-12-14",46043,1,"CW-877","CW-973","CW-738",2105
"ECW2.1-2275","Bosnian-Serb Rebellion",344,"CRO","1994-2-23","1995-3-20","1994-12-31","1995-12-14",NA,1,"CW-877","CW-973","CW-738",NA
"ECW2.1-2275","Bosnian-Serb Rebellion",2,"USA","1995-8-30",NA,"1995-9-20",NA,NA,1,"CW-877","CW-973","CW-738",NA
"ECW2.1-2280","Second Liberia",450,"LBR","1992-10-15",NA,"1995-8-19",NA,150000,3,"CW-878","CW-979","CW-742",2120
"ECW2.1-2280","Second Liberia",475,"NIG","1992-10-15",NA,"1992-12-31",NA,NA,3,"CW-878","CW-979","CW-742",2120
"ECW2.1-2285","Angolan War of the Cities",540,"ANG","1992-10-28",NA,"1994-11-15",NA,1e+05,3,"CW-880","CW-982","CW-743",2125
"ECW2.1-2290","Second Cambodia Civil",811,"CAM","1993-1-29",NA,"1997-7-1",NA,15000,1,"CW-881",NA,"CW-747",2140
"ECW2.1-2295","Abkhazia Revolt",372,"GRG","1993-8-18",NA,"1994-4-14",NA,8000,2,"CW-882","CW-955","CW-736",2095
"ECW2.1-230","Miguelite War",235,"POR","1828-7-11",NA,"1834-5-26",NA,20000,2,"CW-510","CW-607","CW-507",1070
"ECW2.1-230","Miguelite War",200,"UKG","1831-7-1",NA,"1834-5-26",NA,NA,2,"CW-510","CW-607","CW-507",NA
"ECW2.1-2300","Second Burundi",516,"BUI","1993-10-21",NA,"1998-6-15",NA,2e+05,7,"CW-883",NA,"CW-745",2135
"ECW2.1-2305","South Yemeni Secessionist",679,"YEM","1994-2-21",NA,"1994-7-7",NA,7000,1,"CW-885",NA,NA,NA
"ECW2.1-231","Argentine War for Unity",160,"ARG","1829-04-26",NA,"1831-11-30",NA,4004,2,"NS-1513",NA,NA,NA
"ECW2.1-2310","Second Rwanda",517,"RWA","1994-4-6",NA,"1994-7-18",NA,5e+05,2,"CW-886",NA,"CW-749",2150
"ECW2.1-2315","First Chechnya",365,"RUS","1994-12-11",NA,"1996-8-31",NA,10000,2,"CW-888",NA,"CW-748",2145
"ECW2.1-232","Sayyid Said War",698,"OMA","1829-12-18",NA,"1830-05-09",NA,1000,1,"NS-1514",NA,NA,NA
"ECW2.1-2325","Croatia-Krajina War",344,"CRO","1995-5-1",NA,"1995-11-15",NA,NA,1,"CW-891",NA,NA,NA
"ECW2.1-2330","Third Liberia",450,"LBR","1996-4-5",NA,"1996-8-20",NA,3000,3,"CW-892",NA,"CW-754",2170
"ECW2.1-2335","Sixth Iraqi Kurds",645,"IRQ","1996-8-31",NA,"1996-10-23",NA,1500,6,"CW-893",NA,"CW-756",2175
"ECW2.1-2340","Fifth DRC",490,"DRC","1996-10-8",NA,"1997-5-17",NA,1000,2,"CW-895",NA,"CW-757",2180
"ECW2.1-2340","Fifth DRC",500,"UGA","1997-1-1",NA,"1997-1-30",NA,NA,2,"CW-895",NA,"CW-757",NA
"ECW2.1-2340","Fifth DRC",517,"RWA","1997-1-1",NA,"1997-5-17",NA,NA,2,"CW-895",NA,"CW-757",NA
"ECW2.1-2340","Fifth DRC",540,"ANG","1997-4-28",NA,"1997-5-17",NA,NA,2,"CW-895",NA,"CW-757",NA
"ECW2.1-2345","Third Rwanda",517,"RWA","1997-3-17",NA,"1998-10-30",NA,3300,1,"CW-896",NA,NA,2195
"ECW2.1-2350","Second PKK in Iraq",640,"TUR","1997-5-14",NA,"1997-6-14",NA,2600,6,"ES-479","CW-967","CW-734",2085
"ECW2.1-2355","First Congo (Brazzaville)",540,"ANG","1997-10-10",NA,"1997-10-15",NA,NA,2,"CW-897",NA,"CW-760",NA
"ECW2.1-2355","First Congo (Brazzaville)",484,"CON","1997-6-5",NA,"1997-10-15",NA,4000,2,"CW-897",NA,"CW-760",2185
"ECW2.1-2360","Second Sierra Leone",438,"GUI","1998-2-6","2000-5-11","1999-7-7","2000-11-10",NA,2,"CW-898",NA,NA,NA
"ECW2.1-2360","Second Sierra Leone",451,"SIE","1998-2-6","2000-5-11","1999-7-7","2000-11-10",10525,2,"CW-898",NA,NA,2205
"ECW2.1-2360","Second Sierra Leone",452,"GHA","1998-2-6","2000-5-11","1999-7-7","2000-11-10",NA,2,"CW-898",NA,NA,NA
"ECW2.1-2360","Second Sierra Leone",475,"NIG","1998-2-6","2000-5-11","1999-7-7","2000-11-10",NA,2,"CW-898",NA,NA,NA
"ECW2.1-2360","Second Sierra Leone",200,"UKG","2000-5-8",NA,"2000-11-10",NA,NA,2,"CW-898",NA,NA,NA
"ECW2.1-2365","Kosovo Independence",345,"SER","1998-2-28",NA,"1999-3-23",NA,1200,4,"CW-900",NA,NA,NA
"ECW2.1-2370","Guinea-Bissau Military",404,"GNB","1998-6-7",NA,"1999-5-6",NA,2000,2,"CW-902",NA,NA,2190
"ECW2.1-2370","Guinea-Bissau Military",433,"SEN","1998-6-9",NA,"1998-11-1",NA,NA,2,"CW-902",NA,NA,NA
"ECW2.1-2370","Guinea-Bissau Military",438,"GUI","1998-6-9",NA,"1998-11-1",NA,NA,2,"CW-902",NA,NA,NA
"ECW2.1-2375","Africa's World War",517,"RWA","1998-8-11",NA,"2002-7-22",NA,NA,3,"CW-905",NA,"CW-757",2180
"ECW2.1-2375","Africa's World War",490,"DRC","1998-8-2",NA,"2002-12-17",NA,1000,3,"CW-905",NA,"CW-757",2180
