warid	warname	statenum	stateacr	sdate1	edate1	sdate2	edate2	newcow	cow94	cow00	oldwid	deaths	intnl	outcome
ECW2.1-1025	Fifth Colombian	100	COL	1895-1-22	1895-3-15	NA	NA	CW-626	NA	NA	NA	1200	0	1
ECW2.1-1030	Portuguese-Gaza Empire	235	POR	1895-2-1	1895-12-28	NA	NA	ES-403	NA	NA	NA	2050	NA	1
ECW2.1-1035	Ecuador Liberals	130	ECU	1895-2-18	1895-9-22	NA	NA	CW-627	NA	NA	NA	1000	0	2
ECW2.1-1040	Second Spanish-Cuban	230	SPN	1895-2-24	1898-4-21	NA	NA	ES-404	IW-391	ES-381	5195	79000	NA	4
ECW2.1-1045	First Gansu Muslim	710	CHN	1895-4-1	1896-4-15	NA	NA	CW-628	NA	NA	NA	10000	0	1
ECW2.1-1050	Japan-Taiwanese	740	JPN	1895-5-29	1895-10-21	NA	NA	ES-405	NA	ES-383	5200	12560	NA	1
ECW2.1-1055	Mazrui Rebellion	200	UKG	1895-7-3	1896-4-21	NA	NA	ES-406	NA	NA	NA	1000	NA	1
ECW2.1-1060	Druze-Turkish	640	TUR	1895-10-1	1896-12-15	NA	NA	CW-630	IW-396	CW-580	1450	1000	0	1
ECW2.1-1065	Second Cretan	640	TUR	1896-3-10	1897-2-14	NA	NA	CW-631	IW-395	CW-579	1445	1000	0	4
ECW2.1-1070	Second British-Mahdi	200	UKG	1896-6-7	1899-11-24	NA	NA	ES-409	IW-314	ES-387	5025	19200	NA	1
ECW2.1-1075	Spanish-Philippine	230	SPN	1896-8-30	1898-5-1	NA	NA	ES-410	IW-397	ES-365	5210	8000	NA	4
ECW2.1-1080	Third Brazil-Canudos	140	BRA	1896-10-1	1897-10-5	NA	NA	CW-632	CW-706	CW-578	1440	5200	0	1
ECW2.1-1085	British-South Nigerian	200	UKG	1897-1-6	1897-2-25	NA	NA	ES-411	IW-399	ES-388	5220	1020	NA	1
ECW2.1-1090	British-Pathan	200	UKG	1897-7-26	1898-3-7	NA	NA	ES-412	IW-398	ES-389	5215	1000	NA	1
ECW2.1-1095	Hut Tax	200	UKG	1898-2-1	1898-5-15	NA	NA	ES-413	IW-414	ES-391	5225	2000	NA	1
ECW2.1-1100	American-Philippine	2	USA	1899-2-4	1902-7-4	NA	NA	ES-414	IW-400	ES-392	5230	20500	NA	1
ECW2.1-1105	Fourth Venezuelan	101	VEN	1899-5-24	1899-10-22	NA	NA	CW-633	NA	CW-583	1460	2100	0	2
ECW2.1-1110	French Conquest of Chad	220	FRN	1899-7-17	1900-4-22	NA	NA	ES-415	NA	NA	NA	1025	NA	1
ECW2.1-1115	Second Yaqui War	70	MEX	1899-7-21	1900-1-18	NA	NA	CW-635	NA	NA	NA	1600	0	1
ECW2.1-1120	Sixth Colombian (War of the 1000 Days)	100	COL	1899-10-17	1902-11-21	NA	NA	CW-636	CW-709	CW-582	1455	1e+05	0	1
ECW2.1-1125	Last Ashanti War	200	UKG	1900-4-2	1900-9-30	NA	NA	ES-417	NA	NA	NA	2000	NA	1
ECW2.1-1130	Somali Rebellion	200	UKG	1901-3-22	1904-4-21	NA	NA	ES-419	IW-419	ES-393	5235	4400	NA	1
ECW2.1-1130	Somali Rebellion	530	ETH	1901-3-22	1904-4-21	NA	NA	ES-419	IW-419	ES-393	5235	NA	NA	1
ECW2.1-1135	Fifth Venezuelan	101	VEN	1901-12-19	1903-7-19	NA	NA	CW-638	NA	CW-584	1465	4000	0	1
ECW2.1-1140	Bailundu Revolt	235	POR	1902-1-1	1903-12-15	NA	NA	ES-420	NA	NA	NA	NA	NA	1
ECW2.1-1145	Kuanhama Rebellion	235	POR	1902-1-1	1904-12-15	NA	NA	ES-421	NA	NA	NA	4000	NA	6
ECW2.1-1150	British Conquest of Kano & Sokoto	200	UKG	1903-1-29	1903-7-27	NA	NA	ES-422	NA	ES-396	5240	1000	NA	1
ECW2.1-1155	Ilinden	640	TUR	1903-8-2	1903-11-2	NA	NA	CW-640	IW-406	CW-585	1470	6330	0	1
ECW2.1-1160	First Uruguay	165	URU	1904-1-1	1904-9-1	NA	NA	CW-641	CW-712	CW-587	1475	1000	0	1
ECW2.1-1165	Second Dutch-Achinese	210	NTH	1904-1-1	1907-12-15	NA	NA	ES-424	NA	NA	NA	24200	NA	1
ECW2.1-1170	South West African Revolt	255	GMY	1904-1-12	1906-5-4	NA	NA	ES-423	IW-420	ES-397	5245	12800	NA	1
ECW2.1-1175	Younghusband Expedition	200	UKG	1904-3-31	1904-9-7	NA	NA	ES-425	NA	NA	NA	2800	NA	1
ECW2.1-1180	Second Yemen Rebellion	640	TUR	1904-11-8	1906-1-10	NA	NA	CW-642	NA	NA	NA	30000	0	6
ECW2.1-1185	Bloody Sunday	365	RUS	1905-1-22	1906-1-1	NA	NA	CW-643	CW-715	CW-588	1480	1000	0	1
ECW2.1-1190	Maji-Maji Revolt	255	GMY	1905-7-31	1906-6-15	NA	NA	ES-426	IW-422	ES-399	5250	8840	NA	1
ECW2.1-1195	Sokoto Uprising	200	UKG	1906-1-1	1906-3-10	NA	NA	ES-427	NA	NA	NA	2080	NA	1
ECW2.1-1200	Third British-Zulu	200	UKG	1906-3-5	1906-6-10	NA	NA	ES-429	IW-402	ES-400	5255	2356	NA	1
ECW2.1-1205	Dembos War	235	POR	1907-1-1	1910-12-15	NA	NA	ES-430	NA	NA	NA	5100	NA	1
ECW2.1-1210	Romanian Peasant Revolt	360	RUM	1907-3-15	1907-4-30	NA	NA	CW-645	CW-718	CW-589	1485	2000	0	1
ECW2.1-1215	Anti-Foreign Revolt	220	FRN	1907-7-30	1910-12-15	NA	NA	ES-431	CW-721	CW-590	1490	3150	NA	1
ECW2.1-1220	Overthrow of Abd el-Aziz	600	MOR	1907-8-1	1908-9-1	NA	NA	CW-646	CW-721	CW-590	1490	1200	1	2
ECW2.1-1220	Overthrow of Abd el-Aziz	220	FRN	1907-8-7	1908-6-15	NA	NA	CW-646	CW-721	CW-590	1490	NA	1	2
ECW2.1-1225	Japan-Korean Guerrillas	740	JPN	1907-8-1	1910-8-16	NA	NA	ES-432	NA	NA	NA	17736	NA	1
ECW2.1-1230	Iranian Constitution War	630	IRN	1908-6-23	1909-7-17	NA	NA	CW-647	CW-724	CW-591	1495	1000	1	2
ECW2.1-1230	Iranian Constitution War	365	RUS	1909-4-30	1909-7-17	NA	NA	CW-647	CW-724	CW-591	1495	100	1	2
ECW2.1-1235	Young Turks Counter-coup	640	TUR	1909-4-14	1909-4-28	NA	NA	CW-648	NA	NA	NA	6000	0	1
ECW2.1-1240	French Conquest of Wadai	220	FRN	1909-5-1	1911-12-15	NA	NA	ES-433	NA	NA	NA	12000	NA	1
ECW2.1-1245	Second Albanian Revolt	640	TUR	1910-3-1	1912-10-16	NA	NA	CW-650	NA	NA	NA	NA	0	4
ECW2.1-1250	Asir-Yemen Revolt	640	TUR	1910-10-15	1911-10-9	NA	NA	CW-651	NA	NA	NA	9000	0	6
ECW2.1-1255	Third Mexican	70	MEX	1910-11-20	1914-7-15	NA	NA	CW-652	CW-727	CW-592	1500	93750	0	2
ECW2.1-1260	Paraguay	150	PAR	1911-7-15	1912-5-11	NA	NA	CW-656	CW-733	CW-594	1510	5000	0	2
ECW2.1-1265	First Nationalist	710	CHN	1911-10-11	1911-12-31	NA	NA	CW-657	CW-736	CW-595	1515	1000	0	2
ECW2.1-1270	Ecuadorian Civil War	130	ECU	1912-1-1	1914-12-15	NA	NA	CW-670	NA	NA	NA	NA	0	1
ECW2.1-1272	First Sino-Tibetan	710	CHN	1912-3-1	1913-1-15	NA	NA	ES-435	NA	NA	NA	2000	0	2
ECW2.1-1275	French-Berber	220	FRN	1912-3-31	1912-9-6	NA	NA	ES-434	IW-405	ES-401	5260	3600	NA	1
ECW2.1-1280	Cuban Black Uprising	40	CUB	1912-5-20	1912-6-27	NA	NA	CW-658	NA	NA	NA	1050	0	1
ECW2.1-1285	Moroccan Berber	220	FRN	1913-3-26	1915-5-16	NA	NA	ES-436	NA	NA	NA	1900	NA	7
ECW2.1-1285	Moroccan Berber	230	SPN	1913-6-1	1914-12-15	NA	NA	ES-436	NA	NA	NA	NA	NA	7
ECW2.1-1290	Moro Rebellion	2	USA	1913-6-11	1913-10-22	NA	NA	ES-437	NA	NA	NA	1550	NA	1
ECW2.1-1295	Second Nationalist	710	CHN	1913-7-12	1913-9-1	NA	NA	CW-671	CW-739	CW-597	1520	5000	0	1
ECW2.1-1300	China Pai Ling (White Wolf)	710	CHN	1914-3-15	1914-9-15	NA	NA	CW-672	CW-742	CW-598	1525	5000	0	1
ECW2.1-1305	Fourth Mexican	70	MEX	1914-11-19	1920-7-28	NA	NA	CW-673	CW-727	CW-592	1500	31250	1	1
ECW2.1-1305	Fourth Mexican	2	USA	1915-3-15	1917-2-5	NA	NA	CW-673	CW-727	CW-592	NA	NA	1	1
ECW2.1-1310	Southern China Revolt	710	CHN	1916-1-1	1918-11-17	NA	NA	CW-675	IW-408	CW-602	1545	1000	0	1
ECW2.1-1315	Russia-Turkestan	365	RUS	1916-7-4	1917-2-27	NA	NA	CW-676	NA	CW-599	1530	1350	0	1
ECW2.1-1320	Russian Civil War	365	RUS	1917-12-9	1921-3-18	NA	NA	CW-677	CW-745	CW-600	1540	8e+05	1	1
ECW2.1-1320	Russian Civil War	200	UKG	1918-6-23	1920-3-15	NA	NA	CW-677	CW-745	CW-600	1540	350	1	1
ECW2.1-1320	Russian Civil War	220	FRN	1918-6-23	1919-9-30	NA	NA	CW-677	CW-745	CW-600	1540	50	1	1
ECW2.1-1320	Russian Civil War	2	USA	1918-7-1	1920-4-20	NA	NA	CW-677	CW-745	CW-600	1540	275	1	1
ECW2.1-1320	Russian Civil War	740	JPN	1918-8-3	1920-10-15	NA	NA	CW-677	CW-745	CW-600	1540	1500	1	1
ECW2.1-1320	Russian Civil War	375	FIN	1919-4-15	1919-4-30	NA	NA	CW-677	CW-745	CW-600	1540	50	1	1
ECW2.1-1325	Finnish Civil War	365	RUS	1918-1-28	1918-5-16	NA	NA	CW-680	CW-746	CW-603	NA	NA	1	1
ECW2.1-1325	Finnish Civil War	375	FIN	1918-1-28	1918-4-30	NA	NA	CW-680	CW-746	CW-603	1550	13800	1	1
ECW2.1-1325	Finnish Civil War	255	GMY	1918-4-3	1918-5-16	NA	NA	CW-680	CW-746	CW-603	NA	NA	1	1
ECW2.1-1330	Caco Revolt	2	USA	1918-10-17	1920-5-19	NA	NA	ES-441	NA	ES-406	5275	2102	NA	1
ECW2.1-1335	Western Ukrainian	365	RUS	1918-11-1	1919-2-13	NA	NA	CW-681	NA	NA	NA	1000	0	4
ECW2.1-1345	Hungary's Red Terror	310	HUN	1919-3-25	1920-2-15	NA	NA	CW-683	CW-748	CW-604	1555	1500	0	2
ECW2.1-1350	Third British-Afghan	200	UKG	1919-5-3	1919-8-8	NA	NA	ES-442	IW-425	ES-408	5280	2136	NA	3
ECW2.1-1355	First British-Waziristan	200	UKG	1919-5-26	1920-3-15	NA	NA	ES-443	NA	NA	NA	2400	NA	1
ECW2.1-1360	Franco-Syrian	220	FRN	1920-3-1	1920-8-7	NA	NA	ES-444	IW-410	ES-409	5285	5000	NA	1
ECW2.1-1365	Iraqi-British	200	UKG	1920-6-5	1920-10-17	NA	NA	ES-445	IW-411	ES-410	5290	9540	NA	1
ECW2.1-1375	Green Rebellion	365	RUS	1920-8-1	1921-8-15	NA	NA	CW-686	NA	NA	NA	6700	0	1
ECW2.1-1380	Gilan Marxists	365	RUS	1920-8-10	1921-11-11	NA	NA	CW-687	NA	NA	NA	750	1	1
ECW2.1-1380	Gilan Marxists	630	IRN	1920-8-10	1921-11-11	NA	NA	CW-687	NA	NA	NA	750	1	1
ECW2.1-1390	Conquest of Mongolia	710	CHN	1920-10-10	1921-8-22	NA	NA	ES-446	NA	NA	NA	5000	NA	1
ECW2.1-1390	Conquest of Mongolia	365	RUS	1921-5-28	1921-8-22	NA	NA	ES-446	NA	NA	NA	NA	NA	1
ECW2.1-1395	Kronstadt Rebellion	365	RUS	1921-3-7	1921-3-18	NA	NA	CW-690	NA	NA	NA	2600	0	1
ECW2.1-1400	Rif Rebellion	230	SPN	1921-6-28	1926-5-27	NA	NA	ES-449	IW-412	ES-413	5300	60000	NA	1
ECW2.1-1400	Rif Rebellion	220	FRN	1925-4-12	1926-5-27	NA	NA	ES-449	IW-412	ES-413	5300	4000	NA	1
ECW2.1-1405	Moplah Rebellion	200	UKG	1921-8-20	1922-2-15	NA	NA	ES-450	NA	ES-414	5305	2450	NA	1
ECW2.1-1410	Bashmachi in Turkestan	365	RUS	1921-11-10	1923-7-15	NA	NA	CW-691	NA	CW-605	1560	3500	0	1
ECW2.1-1420	Italian-Sanusi	325	ITA	1923-3-23	1931-9-12	NA	NA	ES-447	IW-413	ES-412	5295	40000	NA	1
ECW2.1-1425	Agrarian Rising	355	BUL	1923-9-23	1923-9-28	NA	NA	CW-693	NA	CW-608	1570	3000	0	1
ECW2.1-1430	De La Huerta Rebellion	70	MEX	1923-12-4	1924-2-15	NA	NA	CW-695	NA	CW-607	1565	7000	0	1
ECW2.1-1435	Honduran Conservative	91	HON	1924-2-9	1924-3-31	NA	NA	CW-696	CW-751	CW-609	1575	1000	0	2
ECW2.1-1440	First Afghan Anti-Reform	700	AFG	1924-3-15	1925-1-15	NA	NA	CW-697	CW-754	CW-610	1580	1500	0	1
ECW2.1-1445	Franco-Druze	220	FRN	1925-7-18	1927-5-27	NA	NA	ES-451	IW-415	ES-416	5310	6000	NA	1
ECW2.1-1450	Third Chinese Warlord	710	CHN	1925-10-15	1926-4-20	NA	NA	CW-698	NA	NA	NA	NA	0	2
ECW2.1-1455	Chinese Northern Expedition	710	CHN	1926-7-1	1928-6-30	NA	NA	CW-700	IW-416	CW-615	1600	126000	1	2
ECW2.1-1455	Chinese Northern Expedition	740	JPN	1927-6-1	1928-6-1	NA	NA	CW-700	IW-416	CW-615	1600	NA	1	2
ECW2.1-1460	Cristeros Revolt	70	MEX	1926-8-31	1929-6-21	NA	NA	CW-701	CW-760	CW-613	1590	10000	0	3
ECW2.1-1465	Second Gansu Muslim	710	CHN	1928-1-1	1930-12-15	NA	NA	CW-703	NA	NA	NA	NA	0	1
ECW2.1-1470	Ethiopian Northern Resistance	530	ETH	1928-8-1	1930-4-15	NA	NA	CW-702	NA	NA	NA	200	0	1
ECW2.1-1475	Second Afghan Anti-Reform	700	AFG	1928-11-10	1929-10-15	NA	NA	CW-705	CW-763	CW-614	1595	15000	0	1
ECW2.1-1480	Intra-Guomindang	710	CHN	1929-3-1	1930-11-4	NA	NA	CW-706	CW-766	CW-612	1615	75000	0	1
ECW2.1-1485	Escobar Rebellion	70	MEX	1929-3-3	1929-5-4	NA	NA	CW-707	NA	CW-617	1605	2000	0	1
ECW2.1-1490	Ikhwan Revolt	670	SAU	1929-3-30	1930-1-10	NA	NA	CW-708	NA	CW-618	1610	5500	0	1
ECW2.1-1495	Yen Bai Uprising	220	FRN	1930-2-9	1931-12-15	NA	NA	ES-452	NA	NA	NA	1001	NA	1
ECW2.1-1500	Chinese Civil War, Phase 1	710	CHN	1930-11-15	1936-12-31	NA	NA	CW-710	CW-769	CW-620	1620	5e+05	0	6
ECW2.1-1505	Saya San's Rebellion	200	UKG	1930-12-22	1932-6-15	NA	NA	ES-453	NA	ES-417	5315	1140	NA	1
ECW2.1-1510	Xinjiang Muslim Revolt	710	CHN	1931-2-1	1934-7-7	NA	NA	CW-711	NA	NA	NA	20000	1	1
ECW2.1-1510	Xinjiang Muslim Revolt	365	RUS	1934-1-1	1934-8-15	NA	NA	CW-711	NA	NA	NA	NA	1	1
ECW2.1-1515	Matanza	92	SAL	1932-1-20	1932-1-29	NA	NA	CW-712	CW-771	CW-623	1630	2600	0	1
ECW2.1-1520	Aprista Revolt	135	PER	1932-5-7	1932-7-17	NA	NA	CW-713	NA	CW-624	1635	1100	0	1
ECW2.1-1525	Paulista Rebellion	140	BRA	1932-6-9	1932-8-31	NA	NA	CW-715	CW-772	CW-625	1640	1000	0	1
ECW2.1-1530	Fukien Revolt	710	CHN	1934-1-5	1934-1-15	NA	NA	CW-716	NA	NA	NA	NA	0	1
ECW2.1-1535	Spanish Miners	230	SPN	1934-10-4	1934-10-8	NA	NA	CW-717	CW-775	CW-628	1650	1335	0	1
ECW2.1-1540	British-Palestinian	200	UKG	1936-4-20	1936-10-15	1937-8-1	1939-1-15	ES-454	NA	ES-418	5320	2576	NA	1
ECW2.1-1545	Spanish Civil War	230	SPN	1936-7-18	1939-3-29	NA	NA	CW-718	CW-778	CW-629	1655	460000	1	2
ECW2.1-1545	Spanish Civil War	325	ITA	1936-7-30	1939-3-29	NA	NA	CW-718	CW-778	CW-629	NA	NA	1	2
ECW2.1-1545	Spanish Civil War	235	POR	1936-8-1	1939-3-29	NA	NA	CW-718	CW-778	CW-629	NA	NA	1	2
ECW2.1-1545	Spanish Civil War	255	GMY	1936-8-27	1939-3-29	NA	NA	CW-718	CW-778	CW-629	NA	NA	1	2
ECW2.1-1550	Second British-Waziristan	200	UKG	1936-11-25	1938-1-8	NA	NA	ES-455	NA	ES-418	5320	10200	NA	1
ECW2.1-1555	Greek Civil War	350	GRC	1944-12-3	1945-2-12	1946-2-12	1949-10-16	CW-720	CW-781	CW-630	1660	67970	1	1
ECW2.1-1555	Greek Civil War	200	UKG	1944-12-5	1945-1-11	NA	NA	CW-720	CW-781	CW-630	1660	135	1	1
ECW2.1-1560	Polish Ukrainians	290	POL	1945-5-8	1947-11-18	NA	NA	CW-721	NA	NA	NA	19700	1	1
ECW2.1-1560	Polish Ukrainians	365	RUS	1945-5-8	1947-11-18	NA	NA	CW-721	NA	NA	NA	NA	1	1
ECW2.1-1565	Ukrainian Partisans	365	RUS	1945-5-8	1947-12-31	NA	NA	CW-722	NA	NA	NA	35000	0	1
ECW2.1-1570	Forest Brethren	365	RUS	1945-5-8	1951-12-31	NA	NA	CW-723	NA	NA	NA	32400	0	1
ECW2.1-1575	Indonesian	200	UKG	1945-11-10	1946-10-15	NA	NA	ES-456	IW-418	ES-420	5325	1000	NA	3
ECW2.1-1575	Indonesian	210	NTH	1945-11-10	1946-10-15	NA	NA	ES-456	IW-418	ES-420	5325	4400	NA	3
ECW2.1-1580	Chinese Civil War, Phase 2	710	CHN	1946-3-15	1950-4-21	NA	NA	CW-725	CW-784	CW-632	1665	1200000	0	2
ECW2.1-1585	French-Indochina	220	FRN	1946-11-20	1954-6-1	NA	NA	ES-457	IW-421	ES-412	5330	269500	NA	2
ECW2.1-1590	Taiwan Revolt	710	CHN	1947-2-28	1947-3-21	NA	NA	CW-726	CW-788	CW-634	1675	1250	0	1
ECW2.1-1595	Paraguay	150	PAR	1947-3-7	1947-8-20	NA	NA	CW-727	CW-787	CW-633	1670	1000	0	1
ECW2.1-1600	Third Franco-Madagascan	220	FRN	1947-3-29	1948-12-1	NA	NA	ES-459	IW-424	ES-422	5335	12200	NA	1
ECW2.1-1605	Yemeni Imamate	678	YEM	1948-2-17	1948-3-20	NA	NA	CW-728	CW-790	CW-635	1680	4000	0	1
ECW2.1-1610	Costa Rica	94	COS	1948-3-12	1948-4-17	NA	NA	CW-730	CW-793	CW-637	1685	2000	0	2
ECW2.1-1615	Seventh Colombian "La Violencia"	100	COL	1948-4-9	1958-8-7	NA	NA	CW-731	CW-796	CW-638	1690	29800	0	1
ECW2.1-1620	Malayan Rebellion	200	UKG	1948-6-18	1957-8-31	NA	NA	ES-460	IW-429	ES-424	5340	9100	NA	1
ECW2.1-1625	First Burmese	775	MYA	1948-8-15	1951-7-31	NA	NA	CW-732	CW-799	CW-639	1695	8000	0	1
ECW2.1-1626	Cheju Rebellion	732	ROK	1848-09-09	1849-05-31	NA	NA	NS-	NA	NA	NA	17000	NA	1
ECW2.1-1630	Indo-Hyderabad	750	IND	1948-9-13	1948-9-17	NA	NA	ES-461	IW-430	ES-425	5345	1210	NA	1
ECW2.1-1635	South Moluccas	850	INS	1950-5-31	1950-11-3	NA	NA	CW-733	CW-805	CW-641	1705	5000	0	1
ECW2.1-1640	Hukbalahap Rebellion	840	PHI	1950-9-1	1954-5-15	NA	NA	CW-735	CW-808	CW-642	1710	11300	0	1
ECW2.1-1645	Franco-Tunisian	220	FRN	1952-1-18	1954-7-31	NA	NA	ES-463	IW-444	ES-428	5350	3000	NA	2
ECW2.1-1650	Bolivia	145	BOL	1952-4-8	1952-4-11	NA	NA	CW-737	CW-811	CW-643	1715	1500	0	2
ECW2.1-1655	British-Mau Mau	200	UKG	1952-10-20	1956-10-15	NA	NA	ES-464	IW-432	ES-429	5355	17100	NA	1
ECW2.1-1660	Moroccan Independence	220	FRN	1953-8-20	1956-3-12	NA	NA	ES-465	IW-435	ES-430	5360	3000	NA	2
ECW2.1-1665	Indonesia Darul Islam	850	INS	1953-9-20	1953-11-23	NA	NA	CW-738	CW-814	CW-644	1720	2700	0	1
ECW2.1-1670	Third Franco-Algerian	220	FRN	1954-11-1	1962-3-17	NA	NA	ES-466	IW-433	ES-432	5365	32000	NA	2
ECW2.1-1675	Argentine Military	160	ARG	1955-6-15	1955-9-19	NA	NA	CW-740	CW-820	CW-647	1730	3000	0	2
ECW2.1-1680	Tibetan Khamba Rebellion	710	CHN	1956-3-1	1959-4-14	NA	NA	CW-741	IW-436	CW-648	1735	16000	0	1
ECW2.1-1685	Indonesian Leftists	850	INS	1956-12-15	1962-6-4	NA	NA	CW-742	CW-823	CW-649	1740	27200	0	1
ECW2.1-1695	French-Cameroon	220	FRN	1957-1-1	1958-1-5	NA	NA	ES-467	IW-434	ES-433	5370	1900	NA	1
ECW2.1-1700	First Lebanese	660	LEB	1958-5-9	1958-9-15	NA	NA	CW-743	CW-826	CW-650	1745	1400	1	1
ECW2.1-1700	First Lebanese	2	USA	1958-7-16	1958-9-15	NA	NA	CW-743	CW-826	CW-650	1745	NA	1	1
ECW2.1-1705	Cuban Revolution	40	CUB	1958-5-24	1959-1-2	NA	NA	CW-745	CW-829	CW-652	1750	3000	0	2
ECW2.1-1710	Second Burmese	775	MYA	1958-11-1	1960-4-15	NA	NA	CW-746	NA	NA	NA	3150	0	7
ECW2.1-1715	Iraq-Shammar	645	IRQ	1959-3-6	1959-3-10	NA	NA	CW-747	CW-832	CW-653	1755	2000	0	1
ECW2.1-1725	Vietnam Phase 1	817	RVN	1960-1-1	1965-2-6	NA	NA	CW-748	CW-835	CW-654	1770	100200	1	4
ECW2.1-1725	Vietnam Phase 1	2	USA	1961-1-1	1965-2-6	NA	NA	CW-748	CW-835	CW-654	1770	2000	1	4
ECW2.1-1730	First DRC (Zaire)	490	DRC	1960-7-4	1963-1-14	NA	NA	CW-750	CW-838	CW-655	1775	9000	1	1
ECW2.1-1730	First DRC (Zaire)	211	BEL	1960-7-11	1960-9-14	NA	NA	CW-750	CW-838	CW-655	NA	50	1	1
ECW2.1-1735	First Laotian	812	LAO	1960-10-15	1962-7-15	NA	NA	CW-751	CW-841	CW-657	1780	5000	1	3
ECW2.1-1735	First Laotian	816	DRV	1961-5-1	1962-6-15	NA	NA	CW-751	CW-841	CW-657	NA	NA	1	3
ECW2.1-1740	Angolan-Portuguese	235	POR	1961-2-3	1974-10-14	NA	NA	ES-469	IW-438	ES-434	5375	29000	NA	4
ECW2.1-1745	First Iraqi Kurd	645	IRQ	1961-9-11	1963-11-22	NA	NA	CW-752	IW-437	CW-658	1785	2500	0	6
ECW2.1-1750	Algerian Revolutionaries	615	ALG	1962-7-28	1963-1-15	NA	NA	CW-753	CW-844	CW-659	1790	1500	0	2
ECW2.1-1755	North Yemen	678	YEM	1962-11-15	1969-9-3	NA	NA	CW-755	CW-847	CW-660	1795	1e+05	1	1
ECW2.1-1755	North Yemen	651	EGY	1962-12-15	1967-10-16	NA	NA	CW-755	CW-847	CW-660	1795	1000	1	1
ECW2.1-1760	Second Laotian Phase 1	812	LAO	1963-3-19	1968-1-12	NA	NA	CW-756	CW-850	CW-662	1800	18500	1	4
ECW2.1-1760	Second Laotian Phase 1	816	DRV	1963-3-19	1968-1-12	NA	NA	CW-756	CW-850	CW-662	1800	3000	1	4
ECW2.1-1760	Second Laotian Phase 1	2	USA	1964-5-19	1968-1-12	NA	NA	CW-756	CW-850	CW-662	1800	500	1	4
ECW2.1-1765	First Ogaden	530	ETH	1963-6-1	1964-3-30	NA	NA	CW-757	NA	NA	NA	NA	1	1
ECW2.1-1765	First Ogaden	520	SOM	1963-11-1	1964-3-30	NA	NA	CW-757	NA	NA	NA	NA	1	1
ECW2.1-1770	Second DRC (Jeunesse)	490	DRC	1963-10-1	1965-1-1	NA	NA	CW-760	CW-838	CW-655	1775	9000	0	1
ECW2.1-1775	First South Sudan	625	SUD	1963-10-1	1972-2-28	NA	NA	CW-758	CW-853	CW-663	1805	250000	0	3
ECW2.1-1780	First Rwanda	517	RWA	1963-11-15	1964-2-6	NA	NA	CW-761	CW-856	CW-664	1810	1000	0	1
ECW2.1-1785	Third DRC (Simba) Rebellion	490	DRC	1964-1-1	1965-9-14	NA	NA	CW-762	CW-838	CW-655	1775	4250	1	1
ECW2.1-1785	Third DRC (Simba) Rebellion	211	BEL	1964-11-24	1965-9-14	NA	NA	CW-762	CW-838	CW-655	NA	NA	1	1
ECW2.1-1790	Zanzibar Arab-African	511	ZAN	1964-1-12	1964-1-15	NA	NA	CW-763	NA	NA	NA	NA	0	2
ECW2.1-1795	Mozambique-Portuguese	235	POR	1964-9-25	1975-6-25	NA	NA	ES-471	IW-441	ES-437	5385	13500	NA	2
ECW2.1-1800	Second Iraqi Kurds	645	IRQ	1965-4-3	1966-6-21	NA	NA	CW-765	NA	NA	NA	3000	0	3
ECW2.1-1805	Dominican Republic	42	DOM	1965-4-25	1965-9-6	NA	NA	CW-766	CW-859	CW-665	1815	2500	1	7
ECW2.1-1805	Dominican Republic	2	USA	1965-4-29	1965-9-6	NA	NA	CW-766	CW-859	CW-665	1815	26	1	7
ECW2.1-1810	First West Papua	850	INS	1965-7-26	1969-7-17	NA	NA	CW-767	NA	NA	NA	3000	0	6
ECW2.1-1815	First Uganda	500	UGA	1966-5-23	1966-6-1	NA	NA	CW-768	CW-862	CW-667	1820	2000	0	1
ECW2.1-1820	First Guatemala	2	USA	1966-10-1	1968-8-15	NA	NA	CW-770	NA	NA	NA	NA	1	1
ECW2.1-1820	First Guatemala	90	GUA	1966-10-1	1968-8-15	NA	NA	CW-770	NA	NA	NA	1000	1	1
ECW2.1-1825	First Chad (FROLINAT) Rebellion	483	CHA	1966-11-1	1971-6-16	NA	NA	CW-771	NA	CW-669	1830	3500	1	1
ECW2.1-1825	First Chad (FROLINAT) Rebellion	220	FRN	1968-8-1	1971-6-16	NA	NA	CW-771	NA	CW-669	1830	35	1	1
ECW2.1-1830	Cultural Revolution	710	CHN	1967-1-9	1968-09-01	NA	NA	CW-772/CW-776	NA	NA	NA	50000	0	4
ECW2.1-1835	Third Burmese	775	MYA	1967-6-1	1980-10-22	NA	NA	CW-773	CW-869	CW-673	1845	29200	0	7
ECW2.1-1840	Biafra	475	NIG	1967-7-6	1970-1-12	NA	NA	CW-775	CW-868	CW-672	1840	1e+05	0	1
ECW2.1-1850	Third Iraqi Kurds	645	IRQ	1969-1-3	1970-3-11	NA	NA	CW-777	NA	NA	NA	4000	0	3
ECW2.1-1855	Naxalite Rebellion	750	IND	1970-2-1	1971-11-15	NA	NA	CW-778	NA	NA	NA	2100	0	1
ECW2.1-1860	Black September	663	JOR	1970-9-13	1970-9-24	NA	NA	CW-780	CW-874	CW-677	1860	3440	1	1
ECW2.1-1860	Black September	652	SYR	1970-9-20	1970-9-23	NA	NA	CW-780	CW-874	CW-677	NA	NA	1	1
