warid	warname	statenum	stateacr	sdate1	sdate2	edate1	edate2	side	deaths	outcome	initiate	newcow	cow94	cow00	oldwid
EIW2.1-440	First Balkan	640	TUR	1912-10-17	NA	1913-4-19	NA	2	30000	2	2	IW-100	IW-100	IS-100	450
EIW2.1-445	Second Balkan	340	SER	1913-6-30	NA	1913-7-30	NA	1	18500	1	2	IW-103	IW-103	IS-103	455
EIW2.1-445	Second Balkan	350	GRC	1913-6-30	NA	1913-7-30	NA	1	2500	1	2	IW-103	IW-103	IS-103	455
EIW2.1-445	Second Balkan	360	RUM	1913-7-11	NA	1913-7-30	NA	1	1500	1	2	IW-103	IW-103	IS-103	455
EIW2.1-445	Second Balkan	640	TUR	1913-7-15	NA	1913-7-30	NA	1	20000	1	2	IW-103	IW-103	IS-103	455
EIW2.1-445	Second Balkan	355	BUL	1913-6-30	NA	1913-7-30	NA	2	18000	2	1	IW-103	IW-103	IS-103	455
EIW2.1-450	World War I	2	USA	1917-4-17	NA	1918-11-11	NA	1	116516	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	200	UKG	1914-8-5	NA	1918-11-11	NA	1	908371	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	211	BEL	1914-8-4	NA	1918-11-11	NA	1	13716	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	220	FRN	1914-8-3	NA	1918-11-11	NA	1	1385000	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	235	POR	1916-3-1	NA	1918-11-11	NA	1	7222	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	325	ITA	1915-5-23	NA	1918-11-11	NA	1	650000	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	340	SER	1914-7-29	NA	1918-11-11	NA	1	70000	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	350	GRC	1917-6-29	NA	1918-11-11	NA	1	5000	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	360	RUM	1916-8-27	NA	1917-12-9	NA	1	335706	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	365	RUS	1914-8-1	NA	1917-12-5	NA	1	1700000	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	740	JPN	1914-8-23	NA	1918-11-11	NA	1	300	1	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	255	GMY	1914-8-1	NA	1918-11-11	NA	2	1773700	2	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	300	AUH	1914-7-29	NA	1918-11-3	NA	2	1200000	2	1	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	355	BUL	1915-10-12	NA	1918-9-29	NA	2	87500	2	2	IW-106	IW-106	IS-106	460
EIW2.1-450	World War I	640	TUR	1914-10-28	NA	1918-10-30	NA	2	325000	2	2	IW-106	IW-106	IS-106	460
EIW2.1-455	Second Sino-Tibetan	710	CHN	1918-1-7	NA	1918-8-15	NA	1	1000	6	1	ES-440	IW-426	ES-405	470
EIW2.1-455	Second Sino-Tibetan	711	TBT	1918-1-7	NA	1918-8-15	NA	2	500	6	2	ES-440	IW-426	ES-405	470
EIW2.1-460	Estonian Liberation	366	EST	1918-11-22	NA	1920-1-3	NA	1	3600	1	2	IW-107	NA	NA	NA
EIW2.1-460	Estonian Liberation	375	FIN	1918-12-30	NA	1920-1-3	NA	1	150	1	2	IW-107	NA	NA	NA
EIW2.1-460	Estonian Liberation	365	RUS	1918-11-22	NA	1920-1-3	NA	2	8000	2	1	IW-107	NA	NA	NA
EIW2.1-465	Latvian Liberation	255	GMY	1918-12-7	NA	1919-4-15	NA	1	450	8	2	IW-108	NA	NA	NA
EIW2.1-465	Latvian Liberation	366	EST	1919-1-1	NA	1920-1-3	NA	1	1000	1	2	IW-108	NA	NA	NA
EIW2.1-465	Latvian Liberation	367	LAT	1918-12-2	NA	1920-2-1	NA	1	3046	1	2	IW-108	NA	NA	NA
EIW2.1-465	Latvian Liberation	255	GMY	1919-4-16	NA	1919-7-13	NA	2	750	2	2	IW-108	NA	NA	NA
EIW2.1-465	Latvian Liberation	365	RUS	1918-12-2	NA	1920-2-1	NA	2	8000	2	1	IW-108	NA	NA	NA
EIW2.1-470	Russo-Polish	290	POL	1919-2-14	NA	1920-10-18	NA	1	40000	1	2	IW-109	IW-109	IS-109	475
EIW2.1-470	Russo-Polish	365	RUS	1919-2-14	NA	1920-10-18	NA	2	60000	2	1	IW-109	IW-109	IS-109	475
EIW2.1-475	Hungarian Adversaries	315	CZE	1919-4-26	NA	1919-8-4	NA	1	2000	1	2	IW-112	IW-112	IS-112	480
EIW2.1-475	Hungarian Adversaries	360	RUM	1919-4-16	NA	1919-8-4	NA	1	3000	1	1	IW-112	IW-112	IS-112	480
EIW2.1-475	Hungarian Adversaries	310	HUN	1919-4-16	NA	1919-8-4	NA	2	6000	2	2	IW-112	IW-112	IS-112	480
EIW2.1-480	Second Greco-Turkish	640	TUR	1919-5-5	NA	1922-10-11	NA	1	20000	1	2	IW-115	IW-115	IS-115	485
EIW2.1-480	Second Greco-Turkish	350	GRC	1919-5-5	NA	1922-10-11	NA	2	30000	2	1	IW-115	IW-115	IS-115	485
EIW2.1-485	Franco-Turkish	220	FRN	1919-11-1	NA	1921-10-20	NA	1	5000	3	1	IW-116	IW-116	IS-116	490
EIW2.1-485	Franco-Turkish	640	TUR	1919-11-1	NA	1921-10-20	NA	2	35000	3	2	IW-116	IW-116	IS-116	490
EIW2.1-490	Lithuanian-Polish	290	POL	1920-7-15	NA	1920-12-1	NA	1	500	1	1	IW-117	IW-110	IS-117	495
EIW2.1-490	Lithuanian-Polish	368	LIT	1920-7-15	NA	1920-12-1	NA	2	500	2	2	IW-117	IW-110	IS-117	495
EIW2.1-495	Manchurian	365	RUS	1929-8-17	NA	1929-12-3	NA	1	200	1	1	IW-118	IW-118	IS-118	500
EIW2.1-495	Manchurian	710	CHN	1929-8-17	NA	1929-12-3	NA	2	3000	2	2	IW-118	IW-118	IS-118	500
EIW2.1-500	Second Sino-Japanese	740	JPN	1931-12-19	NA	1933-5-22	NA	1	10000	1	1	IW-121	IW-121	IS-121	505
EIW2.1-500	Second Sino-Japanese	710	CHN	1931-12-19	NA	1933-5-22	NA	2	50000	2	2	IW-121	IW-121	IS-121	505
EIW2.1-505	Chaco	150	PAR	1932-6-15	NA	1935-6-12	NA	1	36000	1	2	IW-124	IW-124	IS-124	510
EIW2.1-505	Chaco	145	BOL	1932-6-15	NA	1935-6-12	NA	2	56661	2	1	IW-124	IW-124	IS-124	510
EIW2.1-510	Saudi-Yemeni	670	SAU	1934-3-20	NA	1934-5-13	NA	1	100	1	1	IW-125	NA	IS-125	515
EIW2.1-510	Saudi-Yemeni	678	YEM	1934-3-20	NA	1934-5-13	NA	2	2000	2	2	IW-125	NA	IS-125	515
EIW2.1-515	Conquest of Ethiopia	325	ITA	1935-10-3	NA	1936-5-9	NA	1	4000	1	1	IW-127	IW-127	IS-127	520
EIW2.1-515	Conquest of Ethiopia	530	ETH	1935-10-3	NA	1936-5-9	NA	2	16000	2	2	IW-127	IW-127	IS-127	520
EIW2.1-520	Third Sino-Japanese	740	JPN	1937-7-7	NA	1941-12-6	NA	1	250000	1	1	IW-130	IW-130	IS-130	525
EIW2.1-520	Third Sino-Japanese	710	CHN	1937-7-7	NA	1941-12-6	NA	2	750000	2	2	IW-130	IW-130	IS-130	525
EIW2.1-525	Changkufeng	740	JPN	1938-7-29	NA	1938-8-11	NA	1	526	2	1	IW-133	IW-133	IS-133	530
EIW2.1-525	Changkufeng	365	RUS	1938-7-29	NA	1938-8-11	NA	2	1200	1	2	IW-133	IW-133	IS-133	530
EIW2.1-530	Nomonhan	365	RUS	1939-5-11	NA	1939-9-16	NA	1	5000	1	2	IW-136	IW-136	IS-136	535
EIW2.1-530	Nomonhan	712	MON	1939-5-11	NA	1939-9-16	NA	1	3000	1	2	IW-136	IW-136	IS-136	535
EIW2.1-530	Nomonhan	740	JPN	1939-5-11	NA	1939-9-16	NA	2	20000	2	1	IW-136	IW-136	IS-136	535
EIW2.1-535	World War II	140	BRA	1944-7-6	NA	1945-5-7	NA	1	1000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	2	USA	1941-12-7	NA	1945-8-14	NA	1	405400	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	20	CAN	1939-9-10	NA	1945-8-14	NA	1	41992	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	200	UKG	1939-9-3	NA	1945-8-14	NA	1	418765	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	210	NTH	1940-5-10	NA	1940-5-14	NA	1	7900	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	211	BEL	1940-5-10	NA	1940-5-28	NA	1	9600	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	220	FRN	1939-9-3	1944-10-23	1940-6-22	1945-8-14	1	210824	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	290	POL	1939-9-1	NA	1939-9-27	NA	1	320000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	325	ITA	1943-10-18	NA	1945-5-7	NA	1	52400	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	345	YUG	1941-4-6	NA	1941-4-17	NA	1	305000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	350	GRC	1940-10-25	NA	1941-4-23	NA	1	18300	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	355	BUL	1944-9-9	NA	1945-5-7	NA	1	1000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	360	RUM	1944-9-9	NA	1945-5-7	NA	1	10000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	365	RUS	1941-6-22	1945-8-8	1945-5-7	1945-8-14	1	7500000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	385	NOR	1940-4-9	NA	1940-6-9	NA	1	3000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	530	ETH	1941-1-24	NA	1941-7-3	NA	1	5000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	560	SAF	1939-9-6	NA	1945-8-14	NA	1	8700	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	710	CHN	1941-12-7	NA	1945-8-14	NA	1	1350000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	712	MON	1945-8-10	NA	1945-8-14	NA	1	3000	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	900	AUL	1939-9-3	NA	1945-8-14	NA	1	33826	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	920	NEW	1939-9-3	NA	1945-8-14	NA	1	12200	1	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	220	FRN	1940-7-7	NA	1941-7-14	NA	2	2500	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	255	GMY	1939-9-1	NA	1945-5-7	NA	2	3500000	2	1	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	310	HUN	1941-6-27	NA	1945-1-20	NA	2	136000	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	325	ITA	1940-6-10	NA	1943-9-2	NA	2	174500	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	355	BUL	1941-12-13	NA	1944-9-8	NA	2	9000	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	360	RUM	1941-6-22	NA	1944-8-23	NA	2	290000	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	375	FIN	1941-6-25	NA	1944-9-19	NA	2	65000	2	2	IW-139	IW-139	IS-139	540
EIW2.1-535	World War II	740	JPN	1941-12-7	NA	1945-8-14	NA	2	1740000	2	2	IW-139	IW-139	IS-139	540
EIW2.1-540	Russo-Finnish	365	RUS	1939-11-30	NA	1940-3-12	NA	1	126875	1	1	IW-142	IW-142	IS-142	545
EIW2.1-540	Russo-Finnish	375	FIN	1939-11-30	NA	1940-3-12	NA	2	24923	2	2	IW-142	IW-142	IS-142	545
EIW2.1-545	Franco-Thai	800	THI	1940-12-1	NA	1941-1-28	NA	1	700	1	1	IW-145	IW-145	IS-145	550
EIW2.1-545	Franco-Thai	220	FRN	1940-12-1	NA	1941-1-28	NA	2	700	2	2	IW-145	IW-145	IS-145	550
EIW2.1-550	First Kashmir	750	IND	1947-10-26	NA	1949-1-1	NA	1	2500	6	1	IW-147	IW-427	IS-147	555
EIW2.1-550	First Kashmir	770	PAK	1947-10-26	NA	1949-1-1	NA	2	1000	6	2	IW-147	IW-427	IS-147	555
EIW2.1-555	Arab-Israeli	666	ISR	1948-5-15	1948-10-15	1948-7-18	1949-1-7	1	3000	1	2	IW-148	IW-148	IS-148	560
EIW2.1-555	Arab-Israeli	645	IRQ	1948-5-15	1948-10-15	1948-7-18	1948-10-31	2	500	2	2	IW-148	IW-148	IS-148	560
EIW2.1-555	Arab-Israeli	651	EGY	1948-5-15	1948-10-15	1948-7-18	1949-1-7	2	2000	2	2	IW-148	IW-148	IS-148	560
EIW2.1-555	Arab-Israeli	652	SYR	1948-5-15	1948-10-15	1948-7-18	1948-10-31	2	1000	2	2	IW-148	IW-148	IS-148	560
EIW2.1-555	Arab-Israeli	660	LEB	1948-5-15	1948-10-15	1948-7-18	1948-10-31	2	500	2	2	IW-148	IW-148	IS-148	560
EIW2.1-555	Arab-Israeli	663	JOR	1948-5-15	1948-10-15	1948-7-18	1948-10-31	2	1000	2	1	IW-148	IW-148	IS-148	560
EIW2.1-560	Third Sino-Tibetan	710	CHN	1950-5-1	NA	1950-10-28	NA	1	10000	1	1	ES-462	IW-431	ES-426	570
EIW2.1-560	Third Sino-Tibetan	711	TBT	1950-5-1	NA	1950-10-28	NA	2	3200	2	2	ES-462	IW-431	ES-426	570
EIW2.1-565	Korean	100	COL	1951-6-6	NA	1953-7-27	NA	1	140	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	2	USA	1950-6-27	NA	1953-7-27	NA	1	54487	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	20	CAN	1950-12-19	NA	1953-7-27	NA	1	309	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	200	UKG	1950-8-29	NA	1953-7-27	NA	1	710	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	210	NTH	1951-1-20	NA	1953-7-27	NA	1	111	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	211	BEL	1951-1-20	NA	1953-7-27	NA	1	97	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	220	FRN	1951-1-1	NA	1953-7-27	NA	1	288	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	350	GRC	1951-1-20	NA	1953-7-27	NA	1	169	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	530	ETH	1951-5-1	NA	1953-7-27	NA	1	120	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	640	TUR	1950-10-18	NA	1953-7-27	NA	1	717	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	732	ROK	1950-6-24	NA	1953-7-27	NA	1	113248	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	800	THI	1951-1-20	NA	1953-7-27	NA	1	114	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	840	PHI	1950-9-16	NA	1953-7-27	NA	1	92	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	900	AUL	1950-12-10	NA	1953-7-27	NA	1	291	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	710	CHN	1950-10-27	NA	1953-7-27	NA	2	422612	6	2	IW-151	IW-151	IS-151	565
EIW2.1-565	Korean	731	PRK	1950-6-24	NA	1953-7-27	NA	2	316579	6	1	IW-151	IW-151	IS-151	565
EIW2.1-570	Off-shore Islands	710	CHN	1954-9-3	NA	1955-4-23	NA	1	1003	1	1	IW-153	NA	NA	NA
EIW2.1-570	Off-shore Islands	713	TAW	1954-9-3	NA	1955-4-23	NA	2	1367	2	2	IW-153	NA	NA	NA
EIW2.1-575	Sinai War	200	UKG	1956-10-31	NA	1956-11-6	NA	1	22	1	2	IW-155	IW-157	IS-157	580
EIW2.1-575	Sinai War	220	FRN	1956-10-31	NA	1956-11-6	NA	1	10	1	2	IW-155	IW-157	IS-157	580
EIW2.1-575	Sinai War	666	ISR	1956-10-29	NA	1956-11-6	NA	1	189	1	1	IW-155	IW-157	IS-157	580
EIW2.1-575	Sinai War	651	EGY	1956-10-29	NA	1956-11-6	NA	2	3000	2	2	IW-155	IW-157	IS-157	580
EIW2.1-580	Soviet Invasion of Hungary	365	RUS	1956-11-4	NA	1956-11-14	NA	1	1500	1	1	IW-156	IW-154	IS-154	575
EIW2.1-580	Soviet Invasion of Hungary	310	HUN	1956-11-4	NA	1956-11-14	NA	2	926	2	2	IW-156	IW-154	IS-154	575
EIW2.1-585	IfniWar	220	FRN	1958-2-10	NA	1958-4-10	NA	1	0	1	2	IW-158	NA	NA	NA
EIW2.1-585	IfniWar	230	SPN	1957-11-21	NA	1958-4-10	NA	1	122	1	2	IW-158	NA	NA	NA
EIW2.1-585	IfniWar	600	MOR	1957-11-21	NA	1958-4-10	NA	2	1000	2	1	IW-158	NA	NA	NA
EIW2.1-590	Taiwan Straits	710	CHN	1958-8-23	NA	1958-11-23	NA	1	300	6	1	IW-159	NA	NA	NA
EIW2.1-590	Taiwan Straits	713	TAW	1958-8-23	NA	1958-11-23	NA	2	1500	6	2	IW-159	NA	NA	NA
EIW2.1-595	Assam	710	CHN	1962-10-20	NA	1962-11-22	NA	1	500	1	1	IW-160	IW-160	IS-160	585
EIW2.1-595	Assam	750	IND	1962-10-20	NA	1962-11-22	NA	2	1353	2	2	IW-160	IW-160	IS-160	585
EIW2.1-600	Vietnam War, Phase 2	815	VNM	1965-2-7	NA	1975-4-30	NA	1	7e+05	1	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	2	USA	1965-2-7	NA	1973-1-27	NA	2	58153	2	1	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	732	ROK	1965-5-1	NA	1973-1-28	NA	2	4687	2	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	800	THI	1967-10-1	NA	1973-1-28	NA	2	351	2	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	811	CAM	1970-3-1	NA	1975-4-17	NA	2	2500	2	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	817	RVN	1965-2-7	NA	1975-4-30	NA	2	254257	2	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	840	PHI	1966-10-1	NA	1973-1-28	NA	2	1000	2	2	IW-163	IW-163	IS-163	590
EIW2.1-600	Vietnam War, Phase 2	900	AUL	1965-2-7	NA	1972-12-20	NA	2	494	2	2	IW-163	IW-163	IS-163	590
EIW2.1-605	Second Kashmir	770	PAK	1965-8-5	NA	1965-9-23	NA	1	3800	1	1	IW-166	IW-166	IS-166	595
EIW2.1-605	Second Kashmir	750	IND	1965-8-5	NA	1965-9-23	NA	2	3261	2	2	IW-166	IW-166	IS-166	595
EIW2.1-610	Six Day War	666	ISR	1967-6-5	NA	1967-6-10	NA	1	1000	1	1	IW-169	IW-169 	IS-169	600
EIW2.1-610	Six Day War	651	EGY	1967-6-5	NA	1967-6-10	NA	2	10000	2	2	IW-169	IW-169 	IS-169	600
EIW2.1-610	Six Day War	652	SYR	1967-6-5	NA	1967-6-10	NA	2	2500	2	2	IW-169	IW-169 	IS-169	600
EIW2.1-610	Six Day War	663	JOR	1967-6-5	NA	1967-6-10	NA	2	6100	2	2	IW-169	IW-169 	IS-169	600
EIW2.1-615	Second Laotian, Phase 2	815	VNM	1968-1-13	NA	1973-4-17	NA	1	2250	1	1	IW-170	NA	NA	NA
EIW2.1-615	Second Laotian, Phase 2	2	USA	1968-1-13	NA	1973-4-17	NA	2	375	2	2	IW-170	NA	NA	NA
EIW2.1-615	Second Laotian, Phase 2	800	THI	1970-3-17	NA	1973-4-17	NA	2	NA	2	2	IW-170	NA	NA	NA
EIW2.1-615	Second Laotian, Phase 2	812	LAO	1968-1-13	NA	1973-4-17	NA	2	11250	2	2	IW-170	NA	NA	NA
EIW2.1-620	War of Attrition	666	ISR	1969-3-6	NA	1970-8-7	NA	1	368	6	2	IW-172	IW-172 	IS-172	605
EIW2.1-620	War of Attrition	651	EGY	1969-3-6	NA	1970-8-7	NA	2	5000	6	1	IW-172	IW-172 	IS-172	605
EIW2.1-625	Football War	92	SAL	1969-7-14	NA	1969-7-18	NA	1	700	1	1	IW-175	IW-175 	IS-175	610
EIW2.1-625	Football War	91	HON	1969-7-14	NA	1969-7-18	NA	2	1200	2	2	IW-175	IW-175 	IS-175	610
EIW2.1-630	Communist Coalition	815	VNM	1970-3-23	NA	1971-7-2	NA	1	400	4	1	IW-176	NA	NA	NA
EIW2.1-630	Communist Coalition	2	USA	1970-5-1	NA	1971-7-2	NA	2	125	4	2	IW-176	NA	NA	NA
EIW2.1-630	Communist Coalition	811	CAM	1970-3-23	NA	1971-7-2	NA	2	5000	4	2	IW-176	NA	NA	NA
EIW2.1-630	Communist Coalition	817	RVN	1970-5-1	NA	1971-7-2	NA	2	1000	4	2	IW-176	NA	NA	NA
EIW2.1-635	Bangladesh	750	IND	1971-12-3	NA	1971-12-17	NA	1	3241	1	2	IW-178	IW-178 	IS-178	615
EIW2.1-635	Bangladesh	770	PAK	1971-12-3	NA	1971-12-17	NA	2	7982	2	1	IW-178	IW-178 	IS-178	615
EIW2.1-640	Yom Kippur War	666	ISR	1973-10-6	NA	1973-10-24	NA	1	2838	1	2	IW-181	IW-181	IS-181	620
EIW2.1-640	Yom Kippur War	645	IRQ	1973-10-6	NA	1973-10-24	NA	2	278	2	2	IW-181	IW-181	IS-181	620
EIW2.1-640	Yom Kippur War	651	EGY	1973-10-6	NA	1973-10-24	NA	2	7700	2	1	IW-181	IW-181	IS-181	620
EIW2.1-640	Yom Kippur War	652	SYR	1973-10-6	NA	1973-10-24	NA	2	3500	2	1	IW-181	IW-181	IS-181	620
EIW2.1-640	Yom Kippur War	663	JOR	1973-10-10	NA	1973-10-24	NA	2	23	2	2	IW-181	IW-181	IS-181	620
EIW2.1-640	Yom Kippur War	670	SAU	1973-10-10	NA	1973-10-24	NA	2	100	2	2	IW-181	IW-181	IS-181	620
EIW2.1-645	Turco-Cypriot	640	TUR	1974-7-20	1974-8-14	1974-7-29	1974-8-16	1	1000	1	1	IW-184	IW-184 	IS-184	625
EIW2.1-645	Turco-Cypriot	352	CYP	1974-7-20	1974-8-14	1974-7-29	1974-8-16	2	500	2	2	IW-184	IW-184 	IS-184	625
EIW2.1-650	War over Angola	40	CUB	1975-10-23	NA	1976-2-12	NA	1	1500	4	2	IW-186	NA	NA	NA
EIW2.1-650	War over Angola	540	ANG	1975-11-11	NA	1976-2-12	NA	1	1000	4	2	IW-186	NA	NA	NA
EIW2.1-650	War over Angola	490	DRC	1975-10-23	NA	1976-2-12	NA	2	100	4	2	IW-186	NA	NA	NA
EIW2.1-650	War over Angola	560	SAF	1975-10-23	NA	1976-2-12	NA	2	100	4	1	IW-186	NA	NA	NA
EIW2.1-655	Second Ogaden War, Phase 2	40	CUB	1977-11-23	NA	1978-3-9	NA	1	700	4	2	IW-187	IW-187	IS-187	630
EIW2.1-655	Second Ogaden War, Phase 2	530	ETH	1977-7-23	NA	1978-3-9	NA	1	1800	4	2	IW-187	IW-187	IS-187	630
EIW2.1-655	Second Ogaden War, Phase 2	520	SOM	1977-7-23	NA	1978-3-9	NA	2	8000	4	1	IW-187	IW-187	IS-187	630
EIW2.1-660	Vietnamese-Cambodian	815	VNM	1977-9-24	NA	1979-1-8	NA	1	3000	4	2	IW-189	IW-189	IS-189	635
EIW2.1-660	Vietnamese-Cambodian	811	CAM	1977-9-24	NA	1979-1-8	NA	2	5000	4	1	IW-189	IW-189	IS-189	635
EIW2.1-665	Ugandian-Tanzanian	510	TAZ	1978-10-28	NA	1979-4-11	NA	1	1000	1	2	IW-190	IW-190	IS-190	640
EIW2.1-665	Ugandian-Tanzanian	500	UGA	1978-10-28	NA	1979-4-11	NA	2	1500	2	1	IW-190	IW-190	IS-190	640
EIW2.1-665	Ugandian-Tanzanian	620	LIB	1979-2-1	NA	1979-4-11	NA	2	500	2	2	IW-190	IW-190	IS-190	640
EIW2.1-670	Sino-Vietnamese Punitive	710	CHN	1979-2-17	NA	1979-3-16	NA	1	13000	1	1	IW-193	IW-193	IS-193	645
EIW2.1-670	Sino-Vietnamese Punitive	815	VNM	1979-2-17	NA	1979-3-16	NA	2	8000	2	2	IW-193	IW-193	IS-193	645
EIW2.1-675	Iran-Iraq	630	IRN	1980-9-22	NA	1988-8-20	NA	1	750000	6	2	IW-199	IW-199	IS-199	650
EIW2.1-675	Iran-Iraq	645	IRQ	1980-9-22	NA	1988-8-20	NA	2	5e+05	6	1	IW-199	IW-199	IS-199	650
EIW2.1-680	Falkland Islands	200	UKG	1982-3-25	NA	1982-6-15	NA	1	255	1	2	IW-202	IW-202	IS-202	655
EIW2.1-680	Falkland Islands	160	ARG	1982-3-25	NA	1982-6-15	NA	2	746	2	1	IW-202	IW-202	IS-202	655
EIW2.1-685	War over Lebanon	666	ISR	1982-4-21	NA	1982-9-15	NA	1	455	6	1	IW-205	IW-205	IS-205	660
EIW2.1-685	War over Lebanon	652	SYR	1982-4-21	NA	1982-9-15	NA	2	1200	6	2	IW-205	IW-205	IS-205	660
EIW2.1-690	War over the Aouzou Strip	483	CHA	1986-11-15	NA	1987-9-11	NA	1	1000	1	1	IW-207	NA	NA	NA
EIW2.1-690	War over the Aouzou Strip	620	LIB	1986-11-15	NA	1987-9-11	NA	2	7000	2	2	IW-207	NA	NA	NA
EIW2.1-695	Sino-Vietnamese Border War	710	CHN	1987-1-5	NA	1987-2-6	NA	1	1800	6	1	IW-208	IW-208	IS-208	665
EIW2.1-695	Sino-Vietnamese Border War	815	VNM	1987-1-5	NA	1987-2-6	NA	2	2200	6	2	IW-208	IW-208	IS-208	665
EIW2.1-700	Gulf War	2	USA	1991-1-16	NA	1991-4-11	NA	1	376	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	20	CAN	1991-1-16	NA	1991-4-11	NA	1	0	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	200	UKG	1991-1-16	NA	1991-4-11	NA	1	24	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	220	FRN	1991-1-16	NA	1991-4-11	NA	1	2	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	325	ITA	1991-1-16	NA	1991-4-11	NA	1	0	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	600	MOR	1991-1-16	NA	1991-4-11	NA	1	0	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	651	EGY	1991-1-16	NA	1991-4-11	NA	1	14	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	652	SYR	1991-1-16	NA	1991-4-11	NA	1	0	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	670	SAU	1991-1-16	NA	1991-4-11	NA	1	44	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	690	KUW	1990-8-2	NA	1991-4-11	NA	1	1000	1	2	IW-211	IW-211	IS-211	670
EIW2.1-700	Gulf War	694	QAT	1991-1-16	NA	1991-4-11	NA	1	0	1	2	IW-211	IW-211	IS-211	670
